ID,Correo,Telefono ,Puesto solicitado ,Peso_puesto,Experiencia laboral (en años),Certificaciones relevantes ,Peso_certificacion,Salario deseado,Peso_Salario
1,jessica97@hotmail.com,4927364851, Ingeniero civil,1.500229116,8,"Certificación en construcción sostenible (LEED) , Certificación en seguridad ocupacional (OSHA), Certificación en seguridad ocupacional (OSHA)",3,15000,9
2,mrodriguez@gmail.com,4929586102, Arquitecto,7.696098497,2,Certificación en diseño estructural,1,20000,8
3,ssmith23@yahoo.com,4920318476, Gerente de proyectos,1.996976688,3,"Certificación en diseño asistido por computadora (CAD), Certificación en seguridad ocupacional (OSHA)",1,35000,5
4,jgonzalez@gmail.com,4925871930, Jefe de obra,70.64811706,10,,0,10000,10
5,rachel.parker@yahoo.com,4924091568, Obrero,9.598969352,1,,0,20000,8
6,aaron.johnson@outlook.com,4926412087, Jefe de obra,49.97211974,6,,0,40000,2
7,jkelly67@gmail.com,4927103856, Gerente de proyectos,28.89753248,4,Certificación en seguridad ocupacional (OSHA),1,30000,6
8,amanda.miller@hotmail.com,4928936041, Arquitecto,7.868391207,5,Certificación en construcción sostenible (LEED),1,15000,9
9,t.wilson23@yahoo.com,4921470385, Ingeniero civil,76.35908949,7,Certificación en diseño estructural,1,25000,7
10,s.carter42@gmail.com,4926891753, Obrero,52.49598769,9,Certificación en diseño asistido por computadora (CAD),1,20000,8
11,perez.luisa@yahoo.com,4920163874, Gerente de proyectos,32.21951916,2,,0,25000,7
12,jessie.jackson@outlook.com,4929257401, Obrero,7.020467465,3,Certificación en gestión ambiental (ISO 14001),1,40000,2
13,j.adams25@hotmail.com,4921078365, Arquitecto,84.65257176,8,Certificación en gestión de calidad (ISO 9001),1,20000,8
14,danny.brown@gmail.com,4925861074, Jefe de obra,65.58793515,10,Certificación en seguridad ocupacional (OSHA),1,25000,7
15,rjones18@yahoo.com,4923948710, Ingeniero civil,40.51567644,1,Certificación en construcción sostenible (LEED),1,35000,5
16,l.hernandez31@gmail.com,4928630741, Obrero,52.46266753,5,,0,10000,10
17,karen.baker@hotmail.com,4924591783, Gerente de proyectos,2.4823901,7,,0,30000,6
18,daniel.turner@yahoo.com,4922380974, Jefe de obra,34.19000203,9,,0,20000,8
19,catherine_lee@gmail.com,4925738410, Arquitecto,75.84813838,6,Certificación en gestión ambiental (ISO 14001),1,35000,5
20,kevin.walker23@yahoo.com,4929410853, Jefe de obra,61.15612069,4,"Certificación en gestión de calidad (ISO 9001), Certificación en seguridad ocupacional (OSHA)",2,30000,6
21,jenny.martin12@outlook.com,4920623578, Ingeniero civil,35.83730477,1,Certificación en seguridad ocupacional (OSHA),1,25000,7
22,bethany.russell@gmail.com,4923157890, Obrero,11.72525968,3,,0,40000,2
23,k.nguyen23@yahoo.com,4927289031, Gerente de proyectos,73.43160814,8,Certificación en diseño asistido por computadora (CAD),1,15000,9
24,sara.andrews@hotmail.com,4924059182, Arquitecto,22.2907521,9,Certificación en gestión de riesgos de construcción,1,35000,5
25,j.white12@gmail.com,4921098653, Ingeniero civil,71.50411874,7,,0,15000,9
26,jennifer.scott23@yahoo.com,4928195730, Obrero,71.01992295,2,,0,20000,8
27,jason.cook@gmail.com,4924870165, Jefe de obra,29.33111062,10,Certificación en construcción sostenible (LEED),1,25000,7
28,j.barnes42@hotmail.com,4926731098, Gerente de proyectos,0.045452636,6,"Certificación en diseño estructural, Certificación en seguridad ocupacional (OSHA)",2,40000,2
29,tiffany.wong@outlook.com,4925308176, Arquitecto,50.81148066,4,"Certificación en diseño asistido por computadora (CAD), Certificación en seguridad ocupacional (OSHA)",2,15000,9
30,nathan.murray@yahoo.com,4929270413, Obrero,57.06529695,5,,0,30000,6
31,jessica97@hotmail.com,4927364851, Ingeniero civil,70.82532682,8,"Certificación en construcción sostenible (LEED) , Certificación en seguridad ocupacional (OSHA), Certificación en seguridad ocupacional (OSHA)",3,15000,9
32,mrodriguez@gmail.com,4929586102, Arquitecto,79.70090284,2,Certificación en diseño estructural,1,20000,8
